mode: set
shrimp/model_user.go:30.34,32.2 1 1
shrimp/model_user.go:46.41,58.2 9 1
shrimp/model_user.go:60.43,62.25 1 1
shrimp/model_user.go:71.3,71.22 1 1
shrimp/model_user.go:75.3,75.9 1 1
shrimp/model_user.go:62.25,63.46 1 1
shrimp/model_user.go:63.46,65.6 1 1
shrimp/model_user.go:66.4,69.4 2 1
shrimp/model_user.go:71.22,73.4 1 1
shrimp/model_user.go:78.43,80.25 1 1
shrimp/model_user.go:86.3,86.22 1 1
shrimp/model_user.go:90.3,90.9 1 1
shrimp/model_user.go:80.25,81.46 1 0
shrimp/model_user.go:81.46,83.6 1 0
shrimp/model_user.go:86.22,88.4 1 1
shrimp/model_user.go:96.35,98.2 1 1
shrimp/model_user.go:100.65,104.38 2 1
shrimp/model_user.go:121.3,121.15 1 1
shrimp/model_user.go:104.38,105.39 1 1
shrimp/model_user.go:105.39,106.49 1 1
shrimp/model_user.go:106.49,109.8 2 1
shrimp/model_user.go:109.8,111.8 1 1
shrimp/model_user.go:112.6,115.6 2 1
shrimp/model_user.go:116.4,119.4 2 1
shrimp/model_user.go:124.31,125.26 1 1
shrimp/model_user.go:130.3,130.25 1 1
shrimp/model_user.go:125.26,128.4 2 1
shrimp/model_user.go:130.25,133.4 2 1
shrimp/model_user.go:136.32,140.20 3 1
shrimp/model_user.go:140.20,143.4 2 1
shrimp/model_user.go:146.42,148.18 2 1
shrimp/model_user.go:161.3,161.18 1 1
shrimp/model_user.go:148.18,153.4 1 1
shrimp/model_user.go:153.4,159.4 1 1
shrimp/model_user.go:161.18,164.4 2 1
shrimp/model_user.go:167.28,174.2 6 1
shrimp/model_user.go:179.57,191.17 7 1
shrimp/model_user.go:193.3,195.9 2 1
shrimp/model_user.go:191.17,191.31 1 0
shrimp/model_user.go:198.73,207.17 5 1
shrimp/model_user.go:209.3,209.19 1 1
shrimp/model_user.go:207.17,207.38 1 1
shrimp/model_user.go:215.36,224.2 1 1
shrimp/model_user.go:226.41,235.2 1 1
shrimp/route_auth.go:12.76,17.27 4 1
shrimp/route_auth.go:21.3,31.19 3 1
shrimp/route_auth.go:36.3,36.14 1 1
shrimp/route_auth.go:17.27,19.4 1 1
shrimp/route_auth.go:31.19,34.4 2 1
shrimp/route_auth.go:41.51,49.19 5 1
shrimp/route_auth.go:54.3,56.31 2 1
shrimp/route_auth.go:61.3,64.19 3 1
shrimp/route_auth.go:69.3,70.33 2 1
shrimp/route_auth.go:49.19,52.4 2 1
shrimp/route_auth.go:56.31,59.4 2 0
shrimp/route_auth.go:64.19,67.4 2 0
shrimp/route_todos.go:8.51,11.2 2 1
shrimp/route_todos.go:13.69,19.19 5 1
shrimp/route_todos.go:28.3,29.33 2 1
shrimp/route_todos.go:19.19,20.27 1 1
shrimp/route_todos.go:25.5,25.11 1 1
shrimp/route_todos.go:20.27,22.6 1 1
shrimp/route_todos.go:22.6,24.6 1 0
shrimp/route_todos.go:32.73,37.19 4 1
shrimp/route_todos.go:42.3,43.33 2 1
shrimp/route_todos.go:37.19,40.4 2 1
shrimp/route_todos.go:46.92,51.19 4 1
shrimp/route_todos.go:56.3,58.19 2 1
shrimp/route_todos.go:67.3,68.33 2 1
shrimp/route_todos.go:51.19,54.4 2 1
shrimp/route_todos.go:58.19,59.27 1 1
shrimp/route_todos.go:64.5,64.11 1 1
shrimp/route_todos.go:59.27,61.6 1 1
shrimp/route_todos.go:61.6,63.6 1 0
shrimp/route_users.go:7.56,13.19 4 1
shrimp/route_users.go:22.3,25.19 3 1
shrimp/route_users.go:30.3,31.33 2 1
shrimp/route_users.go:13.19,14.27 1 1
shrimp/route_users.go:19.5,19.11 1 1
shrimp/route_users.go:14.27,16.6 1 1
shrimp/route_users.go:16.6,18.6 1 0
shrimp/route_users.go:25.19,28.4 2 0
shrimp/route_users.go:36.68,41.19 3 1
shrimp/route_users.go:50.3,51.33 2 1
shrimp/route_users.go:41.19,42.27 1 1
shrimp/route_users.go:47.5,47.11 1 1
shrimp/route_users.go:42.27,44.6 1 1
shrimp/route_users.go:44.6,46.6 1 0
shrimp/workers.go:8.43,11.16 2 1
shrimp/workers.go:13.4,18.5 1 1
shrimp/workers.go:11.16,11.35 1 1
shrimp/main.go:27.45,31.2 3 1
shrimp/main.go:35.13,40.17 3 0
shrimp/main.go:41.3,44.17 4 0
shrimp/main.go:45.3,49.17 3 0
shrimp/main.go:50.3,51.19 2 0
shrimp/main.go:55.3,61.17 5 0
shrimp/main.go:40.17,40.31 1 0
shrimp/main.go:44.17,44.31 1 0
shrimp/main.go:49.17,49.31 1 0
shrimp/main.go:51.19,53.4 1 0
shrimp/main.go:66.49,94.2 12 1
shrimp/model_api.go:21.39,23.2 1 1
shrimp/model_api.go:25.48,31.2 5 1
shrimp/model_api.go:46.40,48.2 1 1
shrimp/model_api.go:50.49,55.2 4 1
shrimp/model_api.go:83.39,87.2 3 1
shrimp/model_api.go:89.71,93.2 3 1
shrimp/model_todo.go:20.34,22.2 1 1
shrimp/model_todo.go:32.41,41.22 7 1
shrimp/model_todo.go:45.3,45.9 1 1
shrimp/model_todo.go:41.22,43.4 1 1
shrimp/model_todo.go:51.35,53.2 1 1
shrimp/model_todo.go:55.32,56.22 1 1
shrimp/model_todo.go:56.22,59.4 2 1
shrimp/model_todo.go:62.28,64.2 1 1
shrimp/model_todo.go:69.36,74.2 1 1
shrimp/model_todo.go:76.41,81.2 1 1
